time,open,high,low,close,tick_volume,spread,real_volume,hour,day_of_week,MA20,range,momentum,vol_avg,volume_spike,h1_prev_high,h1_prev_low,h1_bos_up,h1_bos_down,h1_ma20,h1_momentum,h1_trend,h1_bias,prev_high,prev_low,bos_up,bos_down,trend
2026-03-26 08:45:00,4419.59,4432.87,4418.56,4424.44,1562,15,0,8,3,,14.30999999999949,,,False,4463.85,4439.13,0,1,4515.3295,-24.86999999999989,bearish,bearish,,,0,0,neutral
2026-03-26 08:50:00,4424.47,4437.47,4424.26,4436.64,1526,15,0,8,3,,13.210000000000036,12.200000000000728,,False,4463.85,4439.13,0,1,4515.3295,-24.86999999999989,bearish,bearish,4432.87,4418.56,1,0,bullish
2026-03-26 08:55:00,4436.61,4439.98,4427.4,4427.93,1407,15,0,8,3,,12.579999999999927,-8.710000000000036,,False,4463.85,4439.13,0,1,4515.3295,-24.86999999999989,bearish,bearish,4437.47,4424.26,1,0,bullish
2026-03-26 09:00:00,4427.92,4434.75,4422.37,4423.61,1531,15,0,9,3,,12.38000000000011,-4.3200000000006185,,False,4459.36,4413.49,0,0,4509.318,-4.190000000000509,neutral,bearish,4439.98,4427.4,0,1,bearish
2026-03-26 09:05:00,4423.61,4433.28,4418.48,4427.92,1485,15,0,9,3,,14.800000000000182,4.3100000000004,,False,4459.36,4413.49,0,0,4509.318,-4.190000000000509,neutral,bearish,4434.75,4422.37,0,1,bearish
2026-03-26 09:10:00,4427.97,4432.72,4423.94,4431.01,1301,15,0,9,3,,8.780000000000655,3.090000000000145,,False,4459.36,4413.49,0,0,4509.318,-4.190000000000509,neutral,bearish,4433.28,4418.48,0,0,neutral
2026-03-26 09:15:00,4431.03,4431.8,4425.33,4427.99,1226,15,0,9,3,,6.470000000000255,-3.020000000000437,,False,4459.36,4413.49,0,0,4509.318,-4.190000000000509,neutral,bearish,4432.72,4423.94,0,0,neutral
2026-03-26 09:20:00,4428.01,4436.99,4426.71,4431.1,1138,15,0,9,3,,10.279999999999744,3.110000000000582,,False,4459.36,4413.49,0,0,4509.318,-4.190000000000509,neutral,bearish,4431.8,4425.33,1,0,bullish
2026-03-26 09:25:00,4431.1,4432.68,4427.87,4432.41,1185,15,0,9,3,,4.8100000000004,1.309999999999491,,False,4459.36,4413.49,0,0,4509.318,-4.190000000000509,neutral,bearish,4436.99,4426.71,0,0,neutral
2026-03-26 09:30:00,4432.43,4432.43,4414.76,4422.66,1678,15,0,9,3,,17.670000000000073,-9.75,,False,4459.36,4413.49,0,0,4509.318,-4.190000000000509,neutral,bearish,4432.68,4427.87,0,1,bearish
2026-03-26 09:35:00,4422.66,4428.09,4417.97,4428.06,1665,15,0,9,3,,10.11999999999989,5.400000000000546,,False,4459.36,4413.49,0,0,4509.318,-4.190000000000509,neutral,bearish,4432.43,4414.76,0,0,neutral
2026-03-26 09:40:00,4428.01,4431.62,4424.07,4424.23,1478,15,0,9,3,,7.550000000000182,-3.8300000000008367,,False,4459.36,4413.49,0,0,4509.318,-4.190000000000509,neutral,bearish,4428.09,4417.97,1,0,bullish
2026-03-26 09:45:00,4424.23,4426.7,4418.61,4419.45,1248,15,0,9,3,,8.090000000000146,-4.779999999999745,,False,4459.36,4413.49,0,0,4509.318,-4.190000000000509,neutral,bearish,4431.62,4424.07,0,1,bearish
2026-03-26 09:50:00,4419.45,4427.47,4417.0,4425.68,1235,15,0,9,3,,10.470000000000256,6.230000000000473,,False,4459.36,4413.49,0,0,4509.318,-4.190000000000509,neutral,bearish,4426.7,4418.61,1,1,bullish
2026-03-26 09:55:00,4425.61,4427.96,4420.14,4423.74,1082,15,0,9,3,,7.819999999999709,-1.940000000000509,,False,4459.36,4413.49,0,0,4509.318,-4.190000000000509,neutral,bearish,4427.47,4417.0,1,0,bullish
2026-03-26 10:00:00,4423.74,4425.5,4417.28,4421.16,1234,15,0,10,3,,8.220000000000255,-2.5799999999999272,,False,4436.99,4414.76,1,0,4504.228499999999,19.329999999999927,bullish,bullish,4427.96,4420.14,0,1,bearish
2026-03-26 10:05:00,4421.2,4428.96,4418.49,4422.63,1183,15,0,10,3,,10.470000000000256,1.4700000000002549,,False,4436.99,4414.76,1,0,4504.228499999999,19.329999999999927,bullish,bullish,4425.5,4417.28,1,0,bullish
2026-03-26 10:10:00,4422.6,4426.25,4421.43,4424.93,1044,15,0,10,3,,4.819999999999709,2.300000000000182,,False,4436.99,4414.76,1,0,4504.228499999999,19.329999999999927,bullish,bullish,4428.96,4418.49,0,0,neutral
2026-03-26 10:15:00,4424.93,4436.08,4424.59,4434.89,1121,15,0,10,3,,11.489999999999782,9.960000000000036,,False,4436.99,4414.76,1,0,4504.228499999999,19.329999999999927,bullish,bullish,4426.25,4421.43,1,0,bullish
2026-03-26 10:20:00,4434.66,4443.81,4431.81,4441.28,1239,15,0,10,3,4427.588,12.0,6.389999999999418,1328.4,False,4436.99,4414.76,1,0,4504.228499999999,19.329999999999927,bullish,bullish,4436.08,4424.59,1,0,bullish
2026-03-26 10:25:00,4441.31,4448.2,4439.4,4441.88,1125,15,0,10,3,4428.46,8.800000000000182,0.6000000000003638,1306.55,False,4436.99,4414.76,1,0,4504.228499999999,19.329999999999927,bullish,bullish,4443.81,4431.81,1,0,bullish
2026-03-26 10:30:00,4441.88,4443.81,4437.96,4439.63,1001,15,0,10,3,4428.6095000000005,5.850000000000364,-2.25,1280.3,False,4436.99,4414.76,1,0,4504.228499999999,19.329999999999927,bullish,bullish,4448.2,4439.4,0,1,bearish
2026-03-26 10:35:00,4439.63,4444.56,4430.1,4431.44,1043,15,0,10,3,4428.785000000001,14.460000000000036,-8.19000000000051,1262.1,False,4436.99,4414.76,1,0,4504.228499999999,19.329999999999927,bullish,bullish,4443.81,4437.96,1,1,bullish
2026-03-26 10:40:00,4431.05,4437.52,4423.62,4428.5,1457,15,0,10,3,4429.029500000001,13.900000000000546,-2.9399999999996,1258.4,True,4436.99,4414.76,1,0,4504.228499999999,19.329999999999927,bullish,bullish,4444.56,4430.1,0,1,bearish
2026-03-26 10:45:00,4428.49,4441.15,4425.41,4441.13,1259,15,0,10,3,4429.6900000000005,15.739999999999782,12.63000000000011,1247.1,True,4436.99,4414.76,1,0,4504.228499999999,19.329999999999927,bullish,bullish,4437.52,4423.62,1,0,bullish
2026-03-26 10:50:00,4441.14,4447.54,4437.78,4439.99,1257,15,0,10,3,4430.139,9.760000000000218,-1.1400000000003274,1244.9,True,4436.99,4414.76,1,0,4504.228499999999,19.329999999999927,bullish,bullish,4441.15,4425.41,1,0,bullish
2026-03-26 10:55:00,4440.0,4447.07,4439.18,4443.07,1142,15,0,10,3,4430.893,7.889999999999418,3.0799999999999272,1240.7,False,4436.99,4414.76,1,0,4504.228499999999,19.329999999999927,bullish,bullish,4447.54,4437.78,0,0,neutral
2026-03-26 11:00:00,4444.05,4448.47,4440.39,4445.96,1401,15,0,11,3,4431.636,8.079999999999927,2.8900000000003274,1253.85,True,4448.2,4417.28,1,0,4497.0225,-19.9399999999996,bullish,bearish,4447.07,4439.18,1,0,bullish
2026-03-26 11:05:00,4445.96,4446.9,4441.45,4442.39,1057,15,0,11,3,4432.135,5.449999999999818,-3.569999999999709,1247.45,False,4448.2,4417.28,1,0,4497.0225,-19.9399999999996,bullish,bearish,4448.47,4440.39,0,0,neutral
2026-03-26 11:10:00,4442.41,4444.79,4440.65,4441.94,1009,15,0,11,3,4433.099,4.140000000000327,-0.4500000000007276,1214.0,False,4448.2,4417.28,1,0,4497.0225,-19.9399999999996,bullish,bearish,4446.9,4441.45,0,1,bearish
2026-03-26 11:15:00,4441.94,4448.97,4439.65,4447.5,981,15,0,11,3,4434.071,9.320000000000618,5.5600000000004,1179.8,False,4448.2,4417.28,1,0,4497.0225,-19.9399999999996,bullish,bearish,4444.79,4440.65,1,1,bullish
2026-03-26 11:20:00,4447.33,4456.67,4445.83,4447.88,1104,15,0,11,3,4435.253500000001,10.840000000000146,0.3800000000001091,1161.1,False,4448.2,4417.28,1,0,4497.0225,-19.9399999999996,bullish,bearish,4448.97,4439.65,1,0,bullish
2026-03-26 11:25:00,4447.77,4448.8,4441.2,4443.42,1276,15,0,11,3,4436.452,7.600000000000364,-4.460000000000036,1162.5,True,4448.2,4417.28,1,0,4497.0225,-19.9399999999996,bullish,bearish,4456.67,4445.83,0,1,bearish
2026-03-26 11:30:00,4443.42,4451.26,4442.23,4448.35,1224,15,0,11,3,4437.585499999999,9.030000000000657,4.930000000000291,1161.95,True,4448.2,4417.28,1,0,4497.0225,-19.9399999999996,bullish,bearish,4448.8,4441.2,1,0,bullish
2026-03-26 11:35:00,4448.35,4449.66,4445.06,4449.38,938,15,0,11,3,4438.8675,4.599999999999454,1.0299999999997451,1154.75,False,4448.2,4417.28,1,0,4497.0225,-19.9399999999996,bullish,bearish,4451.26,4442.23,0,0,neutral
2026-03-26 11:40:00,4449.38,4451.93,4438.03,4440.78,1266,15,0,11,3,4439.8485,13.900000000000546,-8.600000000000364,1156.35,True,4448.2,4417.28,1,0,4497.0225,-19.9399999999996,bullish,bearish,4449.66,4445.06,1,1,bullish
2026-03-26 11:45:00,4440.78,4442.62,4425.66,4426.38,1460,15,0,11,3,4440.036,16.960000000000036,-14.399999999999636,1170.2,True,4448.2,4417.28,1,0,4497.0225,-19.9399999999996,bullish,bearish,4451.93,4438.03,0,1,bearish
2026-03-26 11:50:00,4426.24,4428.6,4420.93,4427.43,1495,15,0,11,3,4440.161,7.670000000000073,1.050000000000182,1192.75,True,4448.2,4417.28,1,0,4497.0225,-19.9399999999996,bullish,bearish,4442.62,4425.66,0,1,bearish
2026-03-26 11:55:00,4427.43,4432.48,4419.19,4423.13,1320,15,0,11,3,4439.573,13.289999999999964,-4.300000000000182,1202.7,True,4448.2,4417.28,1,0,4497.0225,-19.9399999999996,bullish,bearish,4428.6,4420.93,1,1,bullish
