time,open,high,low,close,tick_volume,spread,real_volume,volume
2026-04-24 01:00:00,4694.05,4702.05,4694.05,4694.86,807,55,0,807
2026-04-24 01:05:00,4694.81,4698.97,4694.81,4697.14,598,4,0,598
2026-04-24 01:10:00,4697.21,4699.31,4695.1,4697.38,609,4,0,609
2026-04-24 01:15:00,4697.38,4697.38,4693.33,4694.02,524,4,0,524
2026-04-24 01:20:00,4694.01,4696.45,4692.31,4694.36,683,4,0,683
2026-04-24 01:25:00,4694.36,4695.13,4692.69,4692.69,427,4,0,427
2026-04-24 01:30:00,4692.68,4695.2,4692.63,4693.44,548,4,0,548
2026-04-24 01:35:00,4693.45,4696.74,4691.82,4691.84,812,4,0,812
2026-04-24 01:40:00,4691.84,4693.76,4690.84,4693.55,824,4,0,824
2026-04-24 01:45:00,4693.55,4694.54,4692.07,4692.23,745,4,0,745
2026-04-24 01:50:00,4692.25,4693.02,4689.98,4690.77,774,4,0,774
2026-04-24 01:55:00,4690.78,4693.43,4690.3,4693.2,674,4,0,674
2026-04-24 02:00:00,4693.13,4695.47,4691.91,4693.86,1034,4,0,1034
2026-04-24 02:05:00,4693.87,4694.4,4690.25,4690.27,724,4,0,724
2026-04-24 02:10:00,4690.27,4692.46,4689.53,4689.62,783,4,0,783
2026-04-24 02:15:00,4689.63,4690.27,4686.73,4688.43,1063,4,0,1063
2026-04-24 02:20:00,4688.43,4691.77,4688.34,4688.97,828,4,0,828
2026-04-24 02:25:00,4688.98,4694.62,4688.79,4694.49,868,4,0,868
2026-04-24 02:30:00,4694.49,4699.28,4693.66,4699.09,1038,4,0,1038
2026-04-24 02:35:00,4699.09,4700.77,4696.78,4696.78,1024,4,0,1024
2026-04-24 02:40:00,4696.78,4698.48,4696.78,4697.46,709,4,0,709
2026-04-24 02:45:00,4697.46,4699.6,4696.22,4696.87,1080,4,0,1080
2026-04-24 02:50:00,4696.89,4697.6,4695.37,4697.43,1108,4,0,1108
2026-04-24 02:55:00,4697.43,4697.73,4692.27,4695.43,898,4,0,898
2026-04-24 03:00:00,4695.43,4700.2,4690.91,4691.74,1827,4,0,1827
2026-04-24 03:05:00,4691.93,4697.95,4691.93,4696.32,1682,4,0,1682
2026-04-24 03:10:00,4696.32,4698.71,4693.73,4698.12,1586,4,0,1586
2026-04-24 03:15:00,4698.11,4700.5,4696.85,4696.98,1471,4,0,1471
2026-04-24 03:20:00,4696.97,4701.09,4696.42,4700.65,1557,4,0,1557
2026-04-24 03:25:00,4700.65,4705.61,4699.41,4705.43,1290,4,0,1290
2026-04-24 03:30:00,4705.45,4707.85,4702.78,4704.3,1567,4,0,1567
2026-04-24 03:35:00,4704.28,4707.42,4703.54,4704.07,1354,4,0,1354
2026-04-24 03:40:00,4704.07,4704.28,4701.24,4701.49,1579,4,0,1579
2026-04-24 03:45:00,4701.49,4703.19,4697.31,4699.26,1838,4,0,1838
2026-04-24 03:50:00,4699.26,4703.28,4697.77,4703.28,1552,4,0,1552
2026-04-24 03:55:00,4703.28,4705.87,4700.66,4704.62,1387,4,0,1387
2026-04-24 04:00:00,4704.61,4708.03,4697.57,4698.85,2275,4,0,2275
2026-04-24 04:05:00,4698.84,4704.3,4695.8,4703.98,2438,4,0,2438
2026-04-24 04:10:00,4703.98,4709.96,4703.1,4709.33,1924,4,0,1924
2026-04-24 04:15:00,4709.35,4711.05,4704.95,4705.38,1872,4,0,1872
2026-04-24 04:20:00,4705.38,4705.48,4701.64,4704.02,1633,4,0,1633
2026-04-24 04:25:00,4704.02,4704.19,4698.29,4698.41,1671,4,0,1671
2026-04-24 04:30:00,4698.41,4702.36,4690.81,4693.62,2189,4,0,2189
2026-04-24 04:35:00,4693.62,4697.67,4692.7,4695.99,2289,4,0,2289
