date,signal_time,side,system
2026-05-19,2026-05-19 08:45:00,SELL,FLOW_EXP
2026-05-19,2026-05-19 09:05:00,SELL,FLOW_EXP
2026-05-19,2026-05-19 10:30:00,SELL,FLOW_EXP
2026-05-19,2026-05-19 11:10:00,SELL,FLOW_EXP
2026-05-19,2026-05-19 11:15:00,SELL,FLOW_EXP
2026-05-19,2026-05-19 11:30:00,SELL,FLOW_EXP
2026-05-19,2026-05-19 11:55:00,SELL,FLOW_EXP
2026-05-19,2026-05-19 12:00:00,SELL,FLOW_EXP
2026-05-19,2026-05-19 12:30:00,SELL,FLOW_EXP
2026-05-19,2026-05-19 13:15:00,SELL,FLOW_EXP
2026-05-19,2026-05-19 13:20:00,SELL,FLOW_EXP
2026-05-19,2026-05-19 13:50:00,SELL,FLOW_EXP
2026-05-19,2026-05-19 14:25:00,SELL,FLOW_EXP
2026-05-20,2026-05-20 06:45:00,SELL,FLOW_EXP
2026-05-20,2026-05-20 07:25:00,SELL,FLOW_EXP
2026-05-20,2026-05-20 07:35:00,SELL,FLOW_EXP
2026-05-20,2026-05-20 07:40:00,SELL,FLOW_EXP
2026-05-20,2026-05-20 07:45:00,SELL,FLOW_EXP
2026-05-20,2026-05-20 07:55:00,SELL,FLOW_EXP
2026-05-20,2026-05-20 08:45:00,SELL,FLOW_EXP
2026-05-20,2026-05-20 09:05:00,SELL,FLOW_EXP
2026-05-20,2026-05-20 09:30:00,SELL,FLOW_EXP
2026-05-20,2026-05-20 09:35:00,SELL,FLOW_EXP
2026-05-22,2026-05-22 09:05:00,SELL,FLOW_EXP
2026-05-22,2026-05-22 09:15:00,SELL,FLOW_EXP
2026-05-22,2026-05-22 10:30:00,SELL,FLOW_EXP
2026-05-22,2026-05-22 10:35:00,SELL,FLOW_EXP
2026-05-22,2026-05-22 10:50:00,SELL,FLOW_EXP
2026-05-22,2026-05-22 10:55:00,BUY,FLOW_EXP
2026-05-22,2026-05-22 11:30:00,SELL,FLOW_EXP
2026-05-22,2026-05-22 11:45:00,SELL,FLOW_EXP
2026-05-22,2026-05-22 12:05:00,SELL,FLOW_EXP
2026-05-22,2026-05-22 12:10:00,SELL,FLOW_EXP
2026-05-22,2026-05-22 12:30:00,BUY,FLOW_EXP
2026-05-25,2026-05-25 07:10:00,SELL,FLOW_EXP
2026-05-25,2026-05-25 11:05:00,BUY,FLOW_EXP
2026-05-25,2026-05-25 12:20:00,BUY,FLOW_EXP
2026-05-25,2026-05-25 12:40:00,BUY,FLOW_EXP
2026-05-25,2026-05-25 12:45:00,BUY,FLOW_EXP
2026-05-25,2026-05-25 13:10:00,BUY,FLOW_EXP
2026-05-26,2026-05-26 08:05:00,BUY,FLOW_EXP
2026-05-26,2026-05-26 08:15:00,BUY,FLOW_EXP
2026-05-26,2026-05-26 08:30:00,BUY,FLOW_EXP
2026-05-26,2026-05-26 09:00:00,BUY,FLOW_EXP
2026-05-26,2026-05-26 09:10:00,BUY,FLOW_EXP
2026-05-26,2026-05-26 09:30:00,BUY,FLOW_EXP
2026-05-26,2026-05-26 10:00:00,BUY,FLOW_EXP
2026-05-26,2026-05-26 12:00:00,BUY,FLOW_EXP
2026-05-26,2026-05-26 12:15:00,BUY,FLOW_EXP
2026-05-26,2026-05-26 12:50:00,BUY,FLOW_EXP
2026-05-26,2026-05-26 17:30:00,BUY,FLOW_EXP
2026-06-02,2026-06-02 08:15:00,BUY,FLOW_EXP
2026-06-02,2026-06-02 08:25:00,BUY,FLOW_EXP
2026-06-02,2026-06-02 08:40:00,BUY,FLOW_EXP
2026-06-02,2026-06-02 10:00:00,BUY,FLOW_EXP
2026-06-02,2026-06-02 11:20:00,BUY,FLOW_EXP
