slice_name,slice_kind,regime,closed_trades,expectancy,net_pnl
CHOPPY_2025-08-05_2025-08-05,regime,CHOPPY,1,-102.5,-102.5
CHOPPY_2025-09-01_2025-09-01,regime,CHOPPY,1,-102.5,-102.5
ALIGNED_RANGE_2026-01-15_2026-01-15,regime,ALIGNED_RANGE,1,-102.5,-102.5
CHOPPY_2025-10-20_2025-10-24,regime,CHOPPY,1,-102.5,-102.5
NEUTRAL_2025-03-21_2025-03-21,regime,NEUTRAL,2,-101.99,-203.98
CHOPPY_2025-07-16_2025-07-16,regime,CHOPPY,2,-101.99,-203.98
CHOPPY_2025-08-15_2025-08-15,regime,CHOPPY,2,-94.56,-189.12
NEUTRAL_2025-02-04_2025-02-04,regime,NEUTRAL,2,-94.56,-189.12
ALIGNED_RANGE_2025-05-19_2025-05-19,regime,ALIGNED_RANGE,1,-87.5,-87.5
NEUTRAL_2025-05-08_2025-05-08,regime,NEUTRAL,1,-87.5,-87.5
CHOPPY_2025-04-16_2025-04-17,regime,CHOPPY,1,-87.5,-87.5
CHOPPY_2025-01-03_2025-01-03,regime,CHOPPY,2,-87.13,-174.26
CHOPPY_2025-02-21_2025-02-21,regime,CHOPPY,4,-65.28,-261.14
CHOPPY_2025-09-28_2025-09-30,regime,CHOPPY,2,-64.87,-129.74
CHOPPY_2025-09-03_2025-09-03,regime,CHOPPY,2,-64.87,-129.73
NEUTRAL_2025-03-07_2025-03-07,regime,NEUTRAL,2,-57.39,-114.78
CHOPPY_2024-12-13_2024-12-13,regime,CHOPPY,2,-57.38,-114.77
CHOPPY_2025-08-13_2025-08-13,regime,CHOPPY,4,-38.38,-153.54
NEUTRAL_2025-07-08_2025-07-10,regime,NEUTRAL,9,-38.19,-343.7
CHOPPY_2025-01-20_2025-01-24,regime,CHOPPY,9,-33.69,-303.25
CHOPPY_2026-02-16_2026-02-19,regime,CHOPPY,2,-29.33,-58.68
NEUTRAL_2025-08-29_2025-08-31,regime,NEUTRAL,2,-29.05,-58.09
CHOPPY_2025-08-27_2025-08-28,regime,CHOPPY,8,-27.71,-221.63
CHOPPY_2025-02-24_2025-02-24,regime,CHOPPY,1,-27.5,-27.5
NEUTRAL_2025-08-03_2025-08-04,regime,NEUTRAL,1,-27.5,-27.5
CHOPPY_2024-12-27_2024-12-27,regime,CHOPPY,2,-27.46,-54.93
CHOPPY_2025-12-01_2025-12-05,regime,CHOPPY,6,-23.93,-143.6
CHOPPY_2025-07-18_2025-07-18,regime,CHOPPY,2,-21.27,-42.55
NEUTRAL_2024-12-06_2024-12-08,regime,NEUTRAL,2,-20.93,-41.85
CHOPPY_2025-10-28_2025-11-09,regime,CHOPPY,6,-18.02,-108.1
CHOPPY_2024-12-16_2024-12-18,regime,CHOPPY,7,-9.71,-67.94
NEUTRAL_2025-07-20_2025-07-21,regime,NEUTRAL,3,-7.45,-22.36
NEUTRAL_2025-04-14_2025-04-14,regime,NEUTRAL,0,0.0,0.0
ALIGNED_RANGE_2025-05-25_2025-05-25,regime,ALIGNED_RANGE,0,0.0,0.0
NEUTRAL_2025-04-08_2025-04-08,regime,NEUTRAL,0,0.0,0.0
NEUTRAL_2025-06-29_2025-06-29,regime,NEUTRAL,0,0.0,0.0
CHOPPY_2025-07-04_2025-07-04,regime,CHOPPY,0,0.0,0.0
CHOPPY_2025-07-11_2025-07-11,regime,CHOPPY,0,0.0,0.0
ALIGNED_RANGE_2025-07-06_2025-07-06,regime,ALIGNED_RANGE,0,0.0,0.0
NEUTRAL_2025-06-22_2025-06-22,regime,NEUTRAL,0,0.0,0.0
CHOPPY_2025-05-01_2025-05-01,regime,CHOPPY,0,0.0,0.0
NEUTRAL_2025-06-01_2025-06-01,regime,NEUTRAL,0,0.0,0.0
CHOPPY_2025-05-16_2025-05-18,regime,CHOPPY,0,0.0,0.0
NEUTRAL_2025-09-02_2025-09-02,regime,NEUTRAL,0,0.0,0.0
NEUTRAL_2025-08-17_2025-08-17,regime,NEUTRAL,0,0.0,0.0
CHOPPY_2025-08-10_2025-08-10,regime,CHOPPY,0,0.0,0.0
CHOPPY_2025-07-24_2025-07-24,regime,CHOPPY,0,0.0,0.0
ALIGNED_RANGE_2025-06-23_2025-06-23,regime,ALIGNED_RANGE,0,0.0,0.0
ALIGNED_RANGE_2025-05-15_2025-05-15,regime,ALIGNED_RANGE,0,0.0,0.0
NEUTRAL_2025-02-23_2025-02-23,regime,NEUTRAL,0,0.0,0.0
VOLATILE_2025-02-02_2025-02-02,regime,VOLATILE,0,0.0,0.0
ALIGNED_RANGE_2025-03-23_2025-03-23,regime,ALIGNED_RANGE,0,0.0,0.0
CHOPPY_2025-04-09_2025-04-10,regime,CHOPPY,0,0.0,0.0
NEUTRAL_2025-04-20_2025-04-21,regime,NEUTRAL,0,0.0,0.0
CHOPPY_2025-04-13_2025-04-13,regime,CHOPPY,0,0.0,0.0
CHOPPY_2025-04-04_2025-04-07,regime,CHOPPY,0,0.0,0.0
NEUTRAL_2025-02-09_2025-02-09,regime,NEUTRAL,0,0.0,0.0
NEUTRAL_2025-01-06_2025-01-06,regime,NEUTRAL,0,0.0,0.0
CHOPPY_2025-04-22_2025-04-24,regime,CHOPPY,0,0.0,0.0
CHOPPY_2025-03-09_2025-03-09,regime,CHOPPY,0,0.0,0.0
