label,starting_balance,ending_balance,net_pnl,closed_trades,wins,losses,open_trades,win_rate_pct,profit_factor,max_drawdown_pct,skipped_overlap_signals,candles_processed,decision_rows,events_logged,trades_opened,replay_start,replay_end,slice_kind,slice_name,regime,slice_start,slice_end,expectancy,positive_expectancy,expectancy_values
CHOPPY_2024-11-19_2024-11-22,10000.0,10218.11,218.11,6,3,3,1,50.0,1.77,2.75,39,940,940,53,7,2024-11-19 12:25:00,2024-11-22 21:40:00,regime,CHOPPY_2024-11-19_2024-11-22,CHOPPY,2024-11-19,2024-11-22 23:55:00,36.35,1,145.96|193.88|-90.39|-89.62|-104.10|162.37
VOLATILE_2024-11-24_2024-11-24,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11,11,0,0,2024-11-24 23:05:00,2024-11-24 23:55:00,regime,VOLATILE_2024-11-24_2024-11-24,VOLATILE,2024-11-24,2024-11-24 23:55:00,0.0,0,
CHOPPY_2024-11-25_2024-12-05,10000.0,10924.67,924.67,20,10,10,1,50.0,1.94,5.24,66,2398,2398,108,21,2024-11-25 00:00:00,2024-12-05 23:55:00,regime,CHOPPY_2024-11-25_2024-12-05,CHOPPY,2024-11-25,2024-12-05 23:55:00,46.23,1,164.94|197.33|197.57|204.49|173.44|179.66|-69.20|160.92|-114.59|-87.37|-112.57|207.53|211.92|215.34|-100.50|-116.79|-89.04|-97.90|-113.75|-86.74
NEUTRAL_2024-12-06_2024-12-08,10000.0,9825.74,-174.26,2,0,2,0,0.0,0.0,1.74,5,272,272,9,2,2024-12-06 00:00:00,2024-12-08 23:55:00,regime,NEUTRAL_2024-12-06_2024-12-08,NEUTRAL,2024-12-06,2024-12-08 23:55:00,-87.13,0,-87.50|-86.76
CHOPPY_2024-12-09_2024-12-11,10000.0,10333.75,333.75,5,3,2,1,60.0,2.58,2.04,22,828,828,34,6,2024-12-09 00:00:00,2024-12-11 23:55:00,regime,CHOPPY_2024-12-09_2024-12-11,CHOPPY,2024-12-09,2024-12-11 23:55:00,66.75,1,188.56|195.13|-106.34|-105.27|161.67
NEUTRAL_2024-12-12_2024-12-12,10000.0,10161.94,161.94,1,1,0,1,100.0,0.0,0.0,2,276,276,6,2,2024-12-12 00:00:00,2024-12-12 23:55:00,regime,NEUTRAL_2024-12-12_2024-12-12,NEUTRAL,2024-12-12,2024-12-12 23:55:00,161.94,1,161.94
CHOPPY_2024-12-13_2024-12-13,10000.0,9820.79,-179.21,2,0,2,0,0.0,0.0,1.79,5,261,261,9,2,2024-12-13 00:00:00,2024-12-13 21:40:00,regime,CHOPPY_2024-12-13_2024-12-13,CHOPPY,2024-12-13,2024-12-13 23:55:00,-89.6,0,-92.50|-86.71
ALIGNED_RANGE_2024-12-15_2024-12-15,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11,11,0,0,2024-12-15 23:05:00,2024-12-15 23:55:00,regime,ALIGNED_RANGE_2024-12-15_2024-12-15,ALIGNED_RANGE,2024-12-15,2024-12-15 23:55:00,0.0,0,
CHOPPY_2024-12-16_2024-12-18,10000.0,10249.26,249.26,6,3,3,0,50.0,1.83,1.02,45,828,828,57,6,2024-12-16 00:00:00,2024-12-18 23:55:00,regime,CHOPPY_2024-12-16_2024-12-18,CHOPPY,2024-12-16,2024-12-18 23:55:00,41.54,1,162.35|-88.88|192.73|-105.16|194.27|-106.05
ALIGNED_RANGE_2024-12-19_2024-12-19,10000.0,10292.92,292.92,3,2,1,0,66.67,4.35,0.88,8,276,276,14,3,2024-12-19 00:00:00,2024-12-19 23:55:00,regime,ALIGNED_RANGE_2024-12-19_2024-12-19,ALIGNED_RANGE,2024-12-19,2024-12-19 23:55:00,97.64,1,-87.50|188.34|192.09
