screenshot_id,annotation_id,symbol,timeframe,side,start_time,end_time,center_time,price_low,price_high,center_price,confidence,source_x_center,source_y_center,source_x_radius,source_y_radius,notes
gold_h1_20260413_20260601,sell_001,XAUUSD,H1,SELL,2026-04-15 04:00:00,2026-04-16 08:00:00,2026-04-15 18:00:00,4847.244,4880.313,4863.779,0.7,280.0,44.0,18.0,25.0,approx cyan sell zone near chart high
gold_h1_20260413_20260601,sell_002,XAUUSD,H1,SELL,2026-04-16 12:00:00,2026-04-17 11:00:00,2026-04-16 23:00:00,4816.821,4836.663,4826.742,0.65,318.0,100.0,15.0,15.0,approx cyan sell continuation
gold_h1_20260413_20260601,sell_003,XAUUSD,H1,SELL,2026-04-19 22:00:00,2026-04-20 05:00:00,2026-04-19 22:00:00,4758.62,4777.139,4767.88,0.7,399.0,189.0,20.0,14.0,approx cyan sell zone
gold_h1_20260413_20260601,sell_004,XAUUSD,H1,SELL,2026-04-22 04:00:00,2026-04-23 11:00:00,2026-04-22 19:00:00,4722.906,4752.007,4737.457,0.7,500.0,235.0,20.0,22.0,approx cyan sell zone
gold_h1_20260413_20260601,sell_005,XAUUSD,H1,SELL,2026-04-27 04:00:00,2026-04-28 07:00:00,2026-04-27 18:00:00,4628.33,4649.494,4638.912,0.65,654.0,384.0,18.0,16.0,approx cyan sell zone
gold_h1_20260413_20260601,sell_006,XAUUSD,H1,SELL,2026-04-29 08:00:00,2026-04-30 12:00:00,2026-04-29 22:00:00,4646.187,4659.415,4652.801,0.65,722.0,363.0,18.0,10.0,approx cyan sell zone
gold_h1_20260413_20260601,sell_007,XAUUSD,H1,SELL,2026-05-04 11:00:00,2026-05-05 12:00:00,2026-05-04 22:00:00,4730.181,4763.25,4746.716,0.65,880.0,221.0,16.0,25.0,approx cyan sell spike zone
gold_h1_20260413_20260601,sell_008,XAUUSD,H1,SELL,2026-05-07 07:00:00,2026-05-08 22:00:00,2026-05-08 04:00:00,4742.086,4764.573,4753.33,0.7,980.0,211.0,28.0,17.0,approx cyan sell zone
gold_h1_20260413_20260601,sell_009,XAUUSD,H1,SELL,2026-05-11 11:00:00,2026-05-12 20:00:00,2026-05-12 03:00:00,4703.065,4721.584,4712.324,0.65,1104.0,273.0,22.0,14.0,approx cyan sell zone
gold_h1_20260413_20260601,sell_010,XAUUSD,H1,SELL,2026-05-15 01:00:00,2026-05-18 01:00:00,2026-05-15 22:00:00,4577.404,4594.6,4586.002,0.65,1228.0,464.0,35.0,13.0,approx cyan sell zone
gold_h1_20260413_20260601,sell_011,XAUUSD,H1,SELL,2026-05-21 09:00:00,2026-05-22 22:00:00,2026-05-22 11:00:00,4566.161,4584.679,4575.42,0.65,1426.0,480.0,34.0,14.0,approx cyan sell zone
gold_h1_20260413_20260601,sell_012,XAUUSD,H1,SELL,2026-05-27 22:00:00,2026-05-29 22:00:00,2026-05-29 04:00:00,4566.822,4614.441,4590.632,0.6,1636.0,457.0,38.0,36.0,approx cyan sell zone
gold_h1_20260413_20260601,buy_001,XAUUSD,H1,BUY,2026-04-29 22:00:00,2026-05-04 01:00:00,2026-05-01 11:00:00,4494.071,4525.817,4509.944,0.75,770.0,579.0,48.0,24.0,approx red buy zone
gold_h1_20260413_20260601,buy_002,XAUUSD,H1,BUY,2026-05-25 10:00:00,2026-05-28 14:00:00,2026-05-27 01:00:00,4406.77,4423.966,4406.77,0.75,1568.0,735.0,50.0,26.0,approx red buy zone
